"2020Q3";"Widowed";"Lyngby-Taarbæk";2731;579;2152
"2020Q3";"Widowed";"Rødovre";2054;445;1609
"2020Q3";"Widowed";"Vallensbæk";717;178;539
"2020Q3";"Widowed";"Allerød";1212;296;916
"2020Q3";"Widowed";"Egedal";1936;501;1435
"2020Q3";"Widowed";"Fredensborg";1969;439;1530
"2020Q3";"Widowed";"Frederikssund";2792;709;2083
"2020Q3";"Widowed";"Furesø";2150;489;1661
"2020Q3";"Widowed";"Gribskov";2525;690;1835
"2020Q3";"Widowed";"Halsnæs";1994;522;1472
"2020Q3";"Widowed";"Helsingør";3550;821;2729
"2020Q3";"Widowed";"Hillerød";2437;580;1857
"2020Q3";"Widowed";"Hørsholm";1673;332;1341
"2020Q3";"Widowed";"Rudersdal";3236;732;2504
"2020Q3";"Widowed";"Bornholm";2838;676;2162
"2020Q3";"Widowed";"Christiansø";6;2;4
"2020Q3";"Widowed";"Greve";2611;688;1923
"2020Q3";"Widowed";"Køge";3119;804;2315
"2020Q3";"Widowed";"Lejre";1438;390;1048
"2020Q3";"Widowed";"Roskilde";4221;1015;3206
"2020Q3";"Widowed";"Solrød";1047;271;776
"2020Q3";"Widowed";"Faxe";2082;554;1528
"2020Q3";"Widowed";"Guldborgsund";4337;1096;3241
"2020Q3";"Widowed";"Holbæk";3863;949;2914
"2020Q3";"Widowed";"Kalundborg";3071;791;2280
"2020Q3";"Widowed";"Lolland";3317;850;2467
"2020Q3";"Widowed";"Næstved";4652;1141;3511
"2020Q3";"Widowed";"Odsherred";2427;635;1792
"2020Q3";"Widowed";"Ringsted";1679;429;1250
"2020Q3";"Widowed";"Slagelse";4580;1105;3475
"2020Q3";"Widowed";"Sorø";1683;423;1260
"2020Q3";"Widowed";"Stevns";1420;398;1022
"2020Q3";"Widowed";"Vordingborg";3189;850;2339
"2020Q3";"Widowed";"Assens";2391;599;1792
"2020Q3";"Widowed";"Faaborg-Midtfyn";3194;833;2361
"2020Q3";"Widowed";"Kerteminde";1605;403;1202
"2020Q3";"Widowed";"Langeland";1084;273;811
"2020Q3";"Widowed";"Middelfart";2260;623;1637
"2020Q3";"Widowed";"Nordfyns";1759;451;1308
"2020Q3";"Widowed";"Nyborg";1989;503;1486
"2020Q3";"Widowed";"Odense";9067;2119;6948
"2020Q3";"Widowed";"Svendborg";3430;854;2576
"2020Q3";"Widowed";"Ærø";545;114;431
"2020Q3";"Widowed";"Billund";1535;383;1152
"2020Q3";"Widowed";"Esbjerg";5908;1445;4463
"2020Q3";"Widowed";"Fanø";263;72;191
"2020Q3";"Widowed";"Fredericia";2731;671;2060
"2020Q3";"Widowed";"Haderslev";3325;803;2522
"2020Q3";"Widowed";"Kolding";4377;1106;3271
"2020Q3";"Widowed";"Sønderborg";4628;1075;3553
"2020Q3";"Widowed";"Tønder";2377;558;1819
"2020Q3";"Widowed";"Varde";2884;714;2170
"2020Q3";"Widowed";"Vejen";2404;585;1819
"2020Q3";"Widowed";"Vejle";5436;1324;4112
"2020Q3";"Widowed";"Aabenraa";3517;869;2648
"2020Q3";"Widowed";"Favrskov";2226;546;1680
"2020Q3";"Widowed";"Hedensted";2482;638;1844
"2020Q3";"Widowed";"Horsens";4210;1040;3170
"2020Q3";"Widowed";"Norddjurs";2445;626;1819
"2020Q3";"Widowed";"Odder";1279;304;975
"2020Q3";"Widowed";"Randers";5237;1342;3895
"2020Q3";"Widowed";"Samsø";339;85;254
"2020Q3";"Widowed";"Silkeborg";4462;1132;3330
"2020Q3";"Widowed";"Skanderborg";2546;658;1888
"2020Q3";"Widowed";"Syddjurs";2474;661;1813
"2020Q3";"Widowed";"Aarhus";11744;2766;8978
"2020Q3";"Widowed";"Herning";4474;1131;3343
"2020Q3";"Widowed";"Holstebro";2995;755;2240
"2020Q3";"Widowed";"Ikast-Brande";2074;523;1551
"2020Q3";"Widowed";"Lemvig";1354;350;1004
"2020Q3";"Widowed";"Ringkøbing-Skjern";3323;792;2531
"2020Q3";"Widowed";"Skive";2819;730;2089
"2020Q3";"Widowed";"Struer";1366;354;1012
"2020Q3";"Widowed";"Viborg";4918;1213;3705
"2020Q3";"Widowed";"Brønderslev";2154;572;1582
"2020Q3";"Widowed";"Frederikshavn";4205;1077;3128
"2020Q3";"Widowed";"Hjørring";3932;976;2956
"2020Q3";"Widowed";"Jammerbugt";2399;646;1753
"2020Q3";"Widowed";"Læsø";199;53;146
"2020Q3";"Widowed";"Mariagerfjord";2504;646;1858
"2020Q3";"Widowed";"Morsø";1432;352;1080
"2020Q3";"Widowed";"Rebild";1519;372;1147
"2020Q3";"Widowed";"Thisted";2822;691;2131
"2020Q3";"Widowed";"Vesthimmerlands";2336;591;1745
"2020Q3";"Widowed";"Aalborg";9830;2518;7312
"2020Q3";"Divorced";"Copenhagen";55024;23021;32003
"2020Q3";"Divorced";"Frederiksberg";10161;3655;6506
"2020Q3";"Divorced";"Dragør";1236;523;713
"2020Q3";"Divorced";"Tårnby";4141;1755;2386
"2020Q3";"Divorced";"Albertslund";2745;1086;1659
"2020Q3";"Divorced";"Ballerup";5086;2062;3024
"2020Q3";"Divorced";"Brøndby";3691;1524;2167
"2020Q3";"Divorced";"Gentofte";7397;2738;4659
"2020Q3";"Divorced";"Gladsaxe";6847;2774;4073
"2020Q3";"Divorced";"Glostrup";2426;1012;1414
"2020Q3";"Divorced";"Herlev";3060;1195;1865
"2020Q3";"Divorced";"Hvidovre";5216;2158;3058
"2020Q3";"Divorced";"Høje-Taastrup";4757;2045;2712
"2020Q3";"Divorced";"Ishøj";2316;976;1340
"2020Q3";"Divorced";"Lyngby-Taarbæk";5319;1953;3366
"2020Q3";"Divorced";"Rødovre";4297;1697;2600
"2020Q3";"Divorced";"Vallensbæk";1281;548;733
"2020Q3";"Divorced";"Allerød";2000;831;1169
"2020Q3";"Divorced";"Egedal";3424;1479;1945
"2020Q3";"Divorced";"Fredensborg";4221;1679;2542
"2020Q3";"Divorced";"Frederikssund";5024;2183;2841
"2020Q3";"Divorced";"Furesø";3538;1370;2168
"2020Q3";"Divorced";"Gribskov";4777;2155;2622
"2020Q3";"Divorced";"Halsnæs";3767;1709;2058
"2020Q3";"Divorced";"Helsingør";7665;3141;4524
"2020Q3";"Divorced";"Hillerød";4848;1959;2889
"2020Q3";"Divorced";"Hørsholm";2754;1033;1721
"2020Q3";"Divorced";"Rudersdal";5133;1997;3136
"2020Q3";"Divorced";"Bornholm";4715;2151;2564
"2020Q3";"Divorced";"Christiansø";6;3;3
"2020Q3";"Divorced";"Greve";4839;1988;2851
"2020Q3";"Divorced";"Køge";6354;2668;3686
"2020Q3";"Divorced";"Lejre";2505;1170;1335
"2020Q3";"Divorced";"Roskilde";8441;3397;5044
"2020Q3";"Divorced";"Solrød";2086;866;1220
"2020Q3";"Divorced";"Faxe";4037;1836;2201
"2020Q3";"Divorced";"Guldborgsund";7447;3454;3993
"2020Q3";"Divorced";"Holbæk";7703;3371;4332
"2020Q3";"Divorced";"Kalundborg";5722;2664;3058
"2020Q3";"Divorced";"Lolland";5129;2495;2634
"2020Q3";"Divorced";"Næstved";9466;4125;5341
"2020Q3";"Divorced";"Odsherred";4091;1919;2172
"2020Q3";"Divorced";"Ringsted";3527;1496;2031
"2020Q3";"Divorced";"Slagelse";8745;3877;4868
"2020Q3";"Divorced";"Sorø";3251;1485;1766
"2020Q3";"Divorced";"Stevns";2374;1167;1207
"2020Q3";"Divorced";"Vordingborg";5621;2568;3053
"2020Q3";"Divorced";"Assens";4084;1892;2192
"2020Q3";"Divorced";"Faaborg-Midtfyn";5042;2339;2703
"2020Q3";"Divorced";"Kerteminde";2342;1056;1286
"2020Q3";"Divorced";"Langeland";1519;723;796
"2020Q3";"Divorced";"Middelfart";3923;1784;2139
"2020Q3";"Divorced";"Nordfyns";2729;1308;1421
"2020Q3";"Divorced";"Nyborg";3360;1506;1854
"2020Q3";"Divorced";"Odense";18131;7481;10650
"2020Q3";"Divorced";"Svendborg";6261;2718;3543
"2020Q3";"Divorced";"Ærø";681;312;369
"2020Q3";"Divorced";"Billund";2228;997;1231
"2020Q3";"Divorced";"Esbjerg";11008;4876;6132
"2020Q3";"Divorced";"Fanø";406;174;232
"2020Q3";"Divorced";"Fredericia";5521;2499;3022
"2020Q3";"Divorced";"Haderslev";5535;2569;2966
"2020Q3";"Divorced";"Kolding";8695;3847;4848
"2020Q3";"Divorced";"Sønderborg";7089;3139;3950
"2020Q3";"Divorced";"Tønder";3587;1657;1930
"2020Q3";"Divorced";"Varde";4053;1941;2112
"2020Q3";"Divorced";"Vejen";3649;1734;1915
"2020Q3";"Divorced";"Vejle";10661;4695;5966
"2020Q3";"Divorced";"Aabenraa";5971;2762;3209
"2020Q3";"Divorced";"Favrskov";3729;1712;2017
"2020Q3";"Divorced";"Hedensted";3990;1920;2070
"2020Q3";"Divorced";"Horsens";8545;3712;4833
"2020Q3";"Divorced";"Norddjurs";3858;1831;2027
"2020Q3";"Divorced";"Odder";2191;966;1225
"2020Q3";"Divorced";"Randers";9660;4299;5361
"2020Q3";"Divorced";"Samsø";460;211;249
"2020Q3";"Divorced";"Silkeborg";8768;3863;4905
"2020Q3";"Divorced";"Skanderborg";4869;2124;2745
"2020Q3";"Divorced";"Syddjurs";4282;2053;2229
"2020Q3";"Divorced";"Aarhus";26991;10969;16022
"2020Q3";"Divorced";"Herning";7234;3270;3964
"2020Q3";"Divorced";"Holstebro";4790;2132;2658
"2020Q3";"Divorced";"Ikast-Brande";3629;1715;1914
"2020Q3";"Divorced";"Lemvig";1625;814;811
"2020Q3";"Divorced";"Ringkøbing-Skjern";4491;2135;2356
"2020Q3";"Divorced";"Skive";4220;1956;2264
"2020Q3";"Divorced";"Struer";1991;926;1065
"2020Q3";"Divorced";"Viborg";8622;3831;4791
"2020Q3";"Divorced";"Brønderslev";3134;1468;1666
"2020Q3";"Divorced";"Frederikshavn";5916;2720;3196
"2020Q3";"Divorced";"Hjørring";6266;2844;3422
"2020Q3";"Divorced";"Jammerbugt";3294;1543;1751
"2020Q3";"Divorced";"Læsø";218;99;119
"2020Q3";"Divorced";"Mariagerfjord";3951;1878;2073
"2020Q3";"Divorced";"Morsø";1882;908;974
"2020Q3";"Divorced";"Rebild";2385;1159;1226
